model,threshold,accuracy,f1_macro,f1_weighted,roc_auc,pr_auc,precision_gen,recall_gen,f1_gen,precision_fake,recall_fake,f1_fake
Logistic Regression — test,0.654,0.8775,0.5436,0.9118,0.7612,0.1039,0.9804,0.8917,0.9339,0.0954,0.3905,0.1534
LightGBM — test,0.703,0.9423,0.5752,0.9477,0.7581,0.1211,0.977,0.9634,0.9701,0.1513,0.2231,0.1803
