num_leaves,learning_rate,min_child_samples,reg_lambda,best_iter,val_f1,threshold
31,0.05,20,0,215,0.1749,0.6975
31,0.05,20,1,226,0.1682,0.7047
31,0.05,50,0,168,0.1698,0.6903
31,0.05,50,1,165,0.166,0.6777
31,0.1,20,0,100,0.164,0.7011
31,0.1,20,1,69,0.1646,0.7498
31,0.1,50,0,61,0.1604,0.7336
31,0.1,50,1,68,0.166,0.748
64,0.05,20,0,118,0.1697,0.7245
64,0.05,20,1,163,0.163,0.7101
64,0.05,50,0,111,0.1735,0.6885
64,0.05,50,1,138,0.1724,0.7047
64,0.1,20,0,54,0.1703,0.7354
64,0.1,20,1,63,0.1628,0.7173
64,0.1,50,0,57,0.1646,0.7209
64,0.1,50,1,88,0.1674,0.7462
128,0.05,20,0,114,0.1714,0.6632
128,0.05,20,1,109,0.173,0.6939
128,0.05,50,0,114,0.1699,0.6001
128,0.05,50,1,101,0.171,0.7155
128,0.1,20,0,40,0.1648,0.674
128,0.1,20,1,53,0.1691,0.6596
128,0.1,50,0,49,0.1681,0.638
128,0.1,50,1,52,0.1761,0.7029
