model,threshold,accuracy,f1_macro,f1_weighted,roc_auc,pr_auc,precision_gen,recall_gen,f1_gen,precision_fake,recall_fake,f1_fake
Logistic Regression — test,0.609,0.7912,0.5993,0.8196,0.7424,0.2382,0.9331,0.8265,0.8766,0.2416,0.4827,0.3221
LightGBM — test,0.586,0.7993,0.5987,0.8241,0.7397,0.2408,0.9301,0.8395,0.8825,0.2425,0.4488,0.3148
